Phase,Fold,Epoch,Train_Loss,Val_Loss,LR,DirAcc,WinRate,ProfitFactor,Sharpe,Sortino,MaxDD,TP_MAE,SL_MAE,Quality_Score,Pairs,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,1,1,63.61100616,117.58629996,0.00000480,50.0008,50.0008,0.9978,-0.0390,-0.0441,349.3799,631.7814,632.6144,109.1486,4,1.00,0.1000,15.0,0,64,1,0.000000
1,1,2,50.61220141,113.91220338,0.00006236,49.7377,49.7377,0.9941,-0.1006,-0.1118,652.5934,621.1438,623.1682,107.2921,4,1.00,0.1000,15.0,0,64,1,0.000000
1,1,3,49.70936009,113.22431424,0.00012240,49.9616,49.9616,1.0053,0.0928,0.1043,7517.1675,618.5979,619.8068,111.9474,4,1.00,0.1000,15.0,5,64,1,0.000000
1,1,4,49.65000614,111.95692561,0.00012227,50.0336,50.0336,0.9897,-0.1875,-0.2116,2347.8899,611.5059,612.8113,105.9730,4,1.00,0.1000,15.0,4,64,1,0.000000
1,1,5,85.92705980,114.72835651,0.00010113,50.1916,50.1916,0.9977,-0.0414,-0.0465,2515.0188,625.2073,629.3796,109.4815,4,1.00,0.1500,10.0,5,64,1,0.000000
1,1,6,76.55371556,113.41991881,0.00010070,49.7263,49.7263,0.9924,-0.1307,-0.1460,2347.8899,618.7338,621.8082,106.6097,4,1.00,0.1500,10.0,2,64,1,0.000000
1,1,7,66.26911707,111.80721122,0.00009964,50.2149,50.2149,0.9995,-0.0099,-0.0112,2347.8899,609.3485,613.2055,110.2139,4,1.00,0.1500,10.0,0,64,1,0.000000
1,1,8,49.49839248,112.99635213,0.00009929,49.9603,49.9603,0.9981,-0.0345,-0.0389,2122.5044,616.8751,619.3209,109.1672,4,1.00,0.1470,10.0,0,64,1,0.000000
1,1,9,49.49659162,112.49072008,0.00009812,50.2033,50.2033,1.0019,0.0336,0.0376,2347.8899,613.3553,617.1797,111.1378,4,1.00,0.1441,10.0,0,64,1,0.000000
1,1,10,49.48949592,113.21293421,0.00009674,49.6978,49.6978,1.0036,0.0539,0.0587,1052.3284,617.5768,620.9091,110.5572,4,1.00,0.1412,10.0,0,64,1,1.000000
1,1,11,49.46219467,113.91068090,0.00009517,50.1562,50.1562,0.9918,-0.1380,-0.1524,1849.7887,622.5305,623.1212,107.3263,4,1.00,0.1384,10.0,0,64,1,2.000000
1,1,12,49.44617678,113.70038998,0.00009341,50.1482,50.1482,0.9903,-0.1585,-0.1733,2329.2141,620.9984,622.1326,106.8819,4,1.00,0.1384,10.0,0,64,1,3.000000
1,1,13,49.45375916,112.12746394,0.00009147,49.8265,49.8265,0.9931,-0.1190,-0.1328,655.2501,611.7928,613.9395,107.0659,4,1.00,0.1356,10.0,0,64,1,4.000000
1,1,14,49.53170912,112.97405634,0.00007595,49.8772,49.8772,0.9997,-0.0049,-0.0054,629.5239,616.7638,617.0403,109.6478,4,1.00,0.1329,10.0,0,64,1,4.000000
1,1,15,49.60307859,114.02897663,0.00007547,49.6805,49.6805,0.9967,-0.0500,-0.0542,4355.1050,622.7095,621.9462,108.2858,4,1.00,0.1302,10.0,0,64,1,4.000000
1,1,16,49.67757774,113.53787333,0.00006233,49.7184,49.7184,0.9900,-0.1564,-0.1705,524.2888,620.5485,618.1758,106.0678,4,1.00,0.1953,10.0,5,64,1,4.000000
1,1,17,49.72147709,114.18187304,0.00004959,49.7586,49.7586,0.9894,-0.1558,-0.1677,759.0214,623.3540,618.9506,106.1757,4,1.00,0.2930,10.0,5,64,1,4.000000
1,1,18,49.77890442,114.25656649,0.00004795,49.7645,49.7645,0.9994,-0.0088,-0.0095,1047.4391,624.4686,616.1622,109.3395,4,1.00,0.2930,10.0,4,64,1,4.000000
