Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.04096735,0.03116929,0.00000240,0.0000,0.0000,23.1820,0.9551,0.1143,1.6751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,403.7733,256,0.15,0.1000,15.0,0,8,3,0.001036
2,0.03159578,0.03105714,0.00000000,0.0000,0.0000,22.7836,0.9512,0.1249,1.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,398.9757,256,0.15,0.1000,15.0,0,32,1,0.000000
3,0.03154536,0.03103367,0.00000247,0.0000,0.0000,22.7831,0.9512,0.1241,1.8980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.0177,256,0.15,0.1000,15.0,0,32,1,0.000000
4,0.03136500,0.03108304,0.00000802,0.0000,0.0000,22.7775,0.9513,0.1227,1.8696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.0493,256,0.30,0.1000,15.0,0,32,1,0.000000
5,0.03174170,0.03132281,0.00001090,0.0000,0.0000,22.7891,0.9515,0.1224,1.8597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1943,256,0.30,0.1000,15.0,0,32,1,0.000000
6,0.03150440,0.03119460,0.00006000,0.0000,0.0000,22.7900,0.9515,0.1220,1.8388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.2417,256,0.30,0.1000,15.0,0,32,1,0.000000
7,0.03130755,0.03109049,0.00007200,0.0000,0.0000,22.7815,0.9514,0.1217,1.8487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1519,256,0.45,0.1000,15.0,0,32,1,0.000000
8,0.03112809,0.03101849,0.00007199,0.0000,0.0000,22.7907,0.9515,0.1217,1.8293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.2675,256,0.45,0.1000,15.0,0,32,1,0.000000
9,0.03108901,0.03086520,0.00005998,0.0000,0.0000,22.7807,0.9514,0.1217,1.8420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1518,256,0.45,0.1000,15.0,0,32,1,0.000000
10,0.03107006,0.03081202,0.00005996,0.0000,0.0000,22.8106,0.9517,0.1222,2.1481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1377,256,0.45,0.1000,15.0,0,32,1,0.000000
11,0.03105592,0.03088092,0.00005996,0.0000,0.0000,22.7807,0.9514,0.1218,1.8718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1191,256,0.45,0.1000,15.0,0,32,1,0.000000
12,0.03105571,0.03081232,0.00010778,0.0000,0.0000,22.7822,0.9513,0.1217,1.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1706,256,0.60,0.1000,15.0,0,32,1,0.000000
13,0.03100360,0.03081627,0.00010774,0.0000,0.0000,22.7817,0.9513,0.1217,1.8965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1049,256,0.60,0.1000,15.0,0,32,1,0.000000
14,0.03100018,0.03078879,0.00005989,0.0000,0.0000,22.7820,0.9514,0.1217,1.8580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1482,256,0.60,0.1000,15.0,0,32,1,0.000000
15,0.03115191,0.03078004,0.00007167,0.0000,0.0000,22.7812,0.9513,0.1217,1.8857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1109,384,0.15,0.1000,15.0,0,32,1,0.000000
16,0.03115225,0.03081474,0.00005983,0.0000,0.0000,22.7823,0.9513,0.1217,1.8191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1892,384,0.15,0.1000,15.0,0,32,1,0.000000
17,0.03115244,0.03080189,0.00005979,0.0000,0.0000,22.7818,0.9513,0.1217,1.8113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1923,384,0.15,0.1000,15.0,0,32,1,0.000000
18,0.03116769,0.03078865,0.00010712,0.0000,0.0000,22.7816,0.9513,0.1217,1.8892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1116,512,0.15,0.1000,15.0,0,32,1,0.000000
19,0.03116648,0.03083309,0.00008957,0.0000,0.0000,22.7825,0.9513,0.1217,1.8308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1801,512,0.15,0.1000,15.0,0,32,1,0.000000
