Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.85421000,0.72154300,0.00001500,0.1245,0.0892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6783,10.6850,512,0.75,0.5000,15.0,0,8,1,0.000108
2,0.61245000,0.54321000,0.00001500,0.3567,0.2456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0163,30.1150,512,0.75,0.5000,15.0,0,8,1,0.000081
3,0.48765400,0.41234500,0.00001500,0.5890,0.4567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5306,52.2850,512,0.75,0.5000,15.0,0,8,1,0.000062
4,0.39876500,0.32145600,0.00001500,0.7234,0.6123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1932,66.7850,512,0.75,0.5000,15.0,0,8,1,0.000048
5,0.33456700,0.27654300,0.00001500,0.8123,0.7234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0265,76.7850,512,0.75,0.5000,15.0,0,8,1,0.000041
6,0.29876500,0.23456700,0.00001500,0.8678,0.7987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8707,83.3250,512,0.75,0.5000,15.0,0,8,1,0.000035
7,0.26543200,0.20123400,0.00001500,0.9123,0.8543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7470,88.3300,512,0.75,0.5000,15.0,0,8,1,0.000030
8,0.24321000,0.18765400,0.00001500,0.9345,0.8876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6966,91.1050,512,0.75,0.5000,15.0,0,8,1,0.000028
9,0.22703500,0.17452900,0.00001500,0.9521,0.9060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,92.9050,512,0.75,0.5000,15.0,0,8,1,0.000026
10,0.22702700,0.17453100,0.00002400,0.9596,0.9068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,93.3200,512,0.75,0.5000,15.0,0,8,1,0.000026
11,0.22702700,0.17453100,0.00002400,0.9596,0.9068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,93.3200,512,0.75,0.5000,15.0,0,8,1,0.000026
12,0.22702700,0.17453100,0.00001000,0.9596,0.9068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,93.3200,512,1.00,0.5000,15.0,0,1,24,0.000000
