Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.31998316,0.23188503,0.00000240,0.2764,0.3018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6325,0.0000,0.0000,0.0000,0.0000,0.0000,28.9122,224,0.15,1.0000,15.0,0,13,2,0.000000
2,0.22783613,0.21199791,0.00000790,0.3808,0.4454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6144,0.0000,0.0000,0.0000,0.0000,0.0000,41.3080,224,0.15,0.9800,15.0,0,12,2,0.000000
3,0.21569335,0.20914673,0.00002230,0.3660,0.4455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6097,0.0000,0.0000,0.0000,0.0000,0.0000,40.5755,224,0.15,0.9604,15.0,0,11,2,0.000000
4,0.20957894,0.20808445,0.00004165,0.3790,0.4695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5987,0.0000,0.0000,0.0000,0.0000,0.0000,42.4225,224,0.15,0.9412,15.0,0,10,3,0.000000
5,0.20797910,0.21467416,0.00005328,0.3600,0.4385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6028,0.0000,0.0000,0.0000,0.0000,0.0000,39.9262,224,0.15,0.9224,15.0,0,11,2,0.000000
6,0.21147247,0.20680936,0.00006000,0.3557,0.4539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6103,0.0000,0.0000,0.0000,0.0000,0.0000,40.4761,224,0.25,0.9224,15.0,0,11,2,0.000000
7,0.19830174,0.19769549,0.00005999,0.4334,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5910,0.0000,0.0000,0.0000,0.0000,0.0000,46.5330,224,0.25,0.9039,15.0,0,10,3,0.000000
8,0.20134014,0.20835349,0.00005998,0.4662,0.4862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6130,0.0000,0.0000,0.0000,0.0000,0.0000,47.6198,224,0.25,0.8858,15.0,0,10,3,0.000000
9,0.20386581,0.28138111,0.00005997,0.3347,0.4050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6368,0.0000,0.0000,0.0000,0.0000,0.0000,36.9875,224,0.35,0.8681,15.0,0,11,2,0.000000
10,0.18691547,0.20150193,0.00005093,0.4173,0.5007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6024,0.0000,0.0000,0.0000,0.0000,0.0000,45.9001,224,0.35,0.8681,15.0,5,10,3,0.000000
