Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.67595398,0.26750761,0.00000096,0.0627,0.0569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7709,0.0000,0.0000,0.0000,0.0000,0.0000,5.9806,512,0.15,1.0000,15.0,0,2,8,0.000000
2,0.16554522,0.13931364,0.00000316,0.5563,0.5275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5419,0.0000,0.0000,0.0000,0.0000,0.0000,54.1917,512,0.15,0.9800,15.0,0,28,1,0.000000
3,0.13541971,0.13480089,0.00000892,0.5737,0.5433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5518,0.0000,0.0000,0.0000,0.0000,0.0000,55.8510,512,0.15,0.9604,15.0,0,28,1,0.000000
4,0.12579097,0.13132559,0.00001604,0.5910,0.5743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5125,0.0000,0.0000,0.0000,0.0000,0.0000,58.2682,512,0.15,0.9412,15.0,0,28,1,0.000000
5,0.11640492,0.13146191,0.00002180,0.6098,0.5829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000,0.0000,0.0000,0.0000,59.6320,512,0.15,0.9224,15.0,0,28,1,0.000000
6,0.10444056,0.13021673,0.00002400,0.6062,0.5803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5013,0.0000,0.0000,0.0000,0.0000,0.0000,59.3232,512,0.15,0.9039,15.0,0,28,1,0.000000
7,0.08938471,0.13428388,0.00002400,0.6104,0.5741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4987,0.0000,0.0000,0.0000,0.0000,0.0000,59.2251,512,0.15,0.8858,15.0,0,28,1,0.000000
8,0.10975211,0.12486835,0.00002879,0.6202,0.5851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5030,0.0000,0.0000,0.0000,0.0000,0.0000,60.2685,512,0.30,0.8681,15.0,0,28,1,0.000000
9,0.09472653,0.13089519,0.00002879,0.6122,0.5874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5003,0.0000,0.0000,0.0000,0.0000,0.0000,59.9798,512,0.30,0.8508,15.0,0,28,1,0.000000
10,0.07911322,0.13739914,0.00002878,0.6075,0.5695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5077,0.0000,0.0000,0.0000,0.0000,0.0000,58.8495,512,0.30,0.8337,15.0,0,28,1,0.000000
11,0.09635198,0.12840800,0.00003451,0.6167,0.5813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4968,0.0000,0.0000,0.0000,0.0000,0.0000,59.9014,512,0.45,0.8171,15.0,0,28,1,0.000000
12,0.07324392,0.13301725,0.00003450,0.6217,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4905,0.0000,0.0000,0.0000,0.0000,0.0000,60.1207,512,0.45,0.8007,15.0,0,28,1,0.000000
13,0.05896592,0.13968383,0.00002397,0.6148,0.5746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5009,0.0000,0.0000,0.0000,0.0000,0.0000,59.4670,512,0.45,0.7847,15.0,0,28,1,0.000000
14,0.07769894,0.13146677,0.00002870,0.6326,0.5890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4888,0.0000,0.0000,0.0000,0.0000,0.0000,61.0809,512,0.60,0.7690,15.0,0,28,1,0.000000
15,0.06328985,0.13286915,0.00002868,0.6228,0.5812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4945,0.0000,0.0000,0.0000,0.0000,0.0000,60.1978,512,0.60,0.7536,15.0,0,28,1,0.000000
16,0.05433795,0.13808836,0.00002867,0.6185,0.5746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4954,0.0000,0.0000,0.0000,0.0000,0.0000,59.6537,512,0.60,0.7386,15.0,0,24,1,0.000000
17,0.06394617,0.13174668,0.00003425,0.6285,0.5880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4856,0.0000,0.0000,0.0000,0.0000,0.0000,60.8274,512,0.75,0.7238,15.0,0,28,1,0.000000
18,0.05108736,0.13374471,0.00002390,0.6207,0.5804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4935,0.0000,0.0000,0.0000,0.0000,0.0000,60.0539,512,0.75,0.7238,15.0,0,28,1,0.000000
19,0.04214432,0.13792069,0.00002389,0.6192,0.5751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4955,0.0000,0.0000,0.0000,0.0000,0.0000,59.7150,512,0.75,0.7093,15.0,0,28,1,0.000000
20,0.05595065,0.13077188,0.00002848,0.6311,0.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4858,0.0000,0.0000,0.0000,0.0000,0.0000,60.8662,512,0.90,0.6951,15.0,0,28,1,0.000000
21,0.04466305,0.13951398,0.00002385,0.6265,0.5782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5016,0.0000,0.0000,0.0000,0.0000,0.0000,60.2343,512,0.90,0.6951,15.0,0,28,1,0.000000
22,0.03766320,0.13476778,0.00002383,0.6262,0.5769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4908,0.0000,0.0000,0.0000,0.0000,0.0000,60.1564,512,0.90,0.6812,15.0,0,28,1,0.000000
23,0.04556714,0.13924388,0.00002833,0.6132,0.5748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4936,0.0000,0.0000,0.0000,0.0000,0.0000,59.4004,512,1.00,0.6676,15.0,0,28,1,0.000000
24,0.03729816,0.13750610,0.00002378,0.6250,0.5789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4922,0.0000,0.0000,0.0000,0.0000,0.0000,60.1932,512,1.00,0.6676,15.0,0,28,1,0.000000
25,0.04232924,0.14088867,0.00002376,0.6124,0.5648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,58.8587,512,1.00,0.6543,15.0,0,28,1,1.000000
