Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.58067440,0.14312483,0.00000240,0.1017,0.2207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1941,0.0000,0.0000,0.0000,0.0000,0.0000,212.2358,384,0.15,1.0000,15.0,0,5,4,0.000000
2,0.51402813,0.12946505,0.00000791,0.1069,0.3665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4581,0.0000,0.0000,0.0000,0.0000,0.0000,214.5103,384,0.15,0.9800,15.0,0,4,6,0.000000
3,0.50668837,0.15817674,0.00002235,0.1274,0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6252,0.0000,0.0000,0.0000,0.0000,0.0000,209.1239,384,0.15,0.9604,15.0,0,4,6,0.000000
4,0.54836381,0.12999070,0.00004017,0.1474,0.4310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4855,0.0000,0.0000,0.0000,0.0000,0.0000,219.2127,384,0.30,0.9600,15.0,0,4,6,0.000000
5,1.02537576,0.65618147,0.00006000,-0.0132,-0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.30,1.0000,15.0,0,4,6,0.000000
6,0.52375463,0.42085107,0.00003000,0.0304,0.1934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5497,0.0000,0.0000,0.0000,0.0000,0.0000,200.1940,384,0.30,1.0000,15.0,0,4,6,0.000000
7,0.51401748,0.12988688,0.00003000,0.2069,0.5028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5022,0.0000,0.0000,0.0000,0.0000,0.0000,225.4378,384,0.30,0.9800,15.0,0,4,6,0.000000
8,0.48523159,0.14762040,0.00002999,0.2071,0.4859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6321,0.0000,0.0000,0.0000,0.0000,0.0000,222.0065,384,0.30,0.9604,15.0,0,4,6,0.000000
9,0.48610330,0.12255124,0.00002998,0.0780,0.5184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4245,0.0000,0.0000,0.0000,0.0000,0.0000,221.3260,384,0.30,0.9600,15.0,0,4,6,0.000000
10,0.49090805,0.11955378,0.00002996,0.1104,0.5507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4834,0.0000,0.0000,0.0000,0.0000,0.0000,223.3872,384,0.30,0.9600,15.0,0,4,6,0.000000
11,0.50211473,0.11958898,0.00002994,0.3015,0.5073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5139,0.0000,0.0000,0.0000,0.0000,0.0000,230.1602,384,0.30,0.9600,15.0,0,4,6,0.000000
12,0.47360301,0.12486999,0.00002992,0.3280,0.5302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5211,0.0000,0.0000,0.0000,0.0000,0.0000,232.4876,384,0.30,0.9600,15.0,0,4,6,0.000000
13,0.46468699,0.14384660,0.00002989,0.1325,0.4460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6107,0.0000,0.0000,0.0000,0.0000,0.0000,216.7122,384,0.45,0.9600,15.0,0,4,6,0.000000
